baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,61,127
20220620,0200,TMP,20220620,0300,23,61,127
20220620,0200,SKY,20220620,0300,3,61,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,61,127
20220620,0200,TMP,20220620,0300,23,61,127
20220620,0200,SKY,20220620,0300,3,61,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,126
20220620,0200,TMP,20220620,0300,22,60,126
20220620,0200,SKY,20220620,0300,3,60,126
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
20220620,0200,POP,20220620,0300,20,60,127
20220620,0200,TMP,20220620,0300,22,60,127
20220620,0200,SKY,20220620,0300,3,60,127
