"범죄별","발생지역별","항목","단위","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"범죄발생총건수(A)","계","범죄발생지역","건","1933835","2020731","2008290","1824876","1738190","1767684","1714579",
"범죄발생총건수(A)","서울","범죄발생지역","건","389353","386488","372730","352471","341288","340504","318320",
"범죄발생총건수(A)","부산","범죄발생지역","건","147945","156472","144038","130148","126230","128725","127673",
"범죄발생총건수(A)","대구","범죄발생지역","건","103469","107728","93713","82281","79489","82905","79182",
"범죄발생총건수(A)","인천","범죄발생지역","건","103861","110230","109580","101526","94605","101289","96340",
"범죄발생총건수(A)","광주","범죄발생지역","건","71182","67136","60352","54627","51223","52827","49869",
"범죄발생총건수(A)","대전","범죄발생지역","건","50232","52193","51696","50357","48184","47929","46960",
"범죄발생총건수(A)","울산","범죄발생지역","건","45490","34213","29620","26558","25323","25814","24911",
"범죄발생총건수(A)","세종","범죄발생지역","건","3717","3897","4762","5023","5331","6300","6651",
"범죄발생총건수(A)","경기","범죄발생지역","건","442902","472930","523078","459893","429953","433498","429487",
"범죄발생총건수(A)","강원","범죄발생지역","건","58772","63243","64781","58900","52495","53289","51544",
"범죄발생총건수(A)","충북","범죄발생지역","건","55437","58288","61758","56944","53659","53801","51645",
"범죄발생총건수(A)","충남","범죄발생지역","건","77187","82007","78129","73772","75405","73817","71847",
"범죄발생총건수(A)","전북","범죄발생지역","건","62694","65686","62406","57238","56353","58012","56210",
"범죄발생총건수(A)","전남","범죄발생지역","건","71866","79687","74753","64618","65932","68566","67448",
"범죄발생총건수(A)","경북","범죄발생지역","건","95509","99762","96211","89049","85371","88098","83790",
"범죄발생총건수(A)","경남","범죄발생지역","건","121986","144936","143281","127294","117243","123992","123406",
"범죄발생총건수(A)","제주","범죄발생지역","건","32233","35835","37402","34177","30106","28318","29296",
"인구(B)","계","범죄발생지역","명","51327916","51529338","51696216","51778544","51826059","51849861","51829023",
"인구(B)","서울","범죄발생지역","명","10103233","10022181","9930616","9857426","9765623","9729107","9668465",
"인구(B)","부산","범죄발생지역","명","3519401","3513777","3498529","3470653","3441453","3413841","3391946",
"인구(B)","대구","범죄발생지역","명","2493264","2487829","2484557","2475231","2461769","2438031","2418346",
"인구(B)","인천","범죄발생지역","명","2902608","2925815","2943069","2948542","2954642","2957026","2942828",
"인구(B)","광주","범죄발생지역","명","1475884","1472199","1469214","1463770","1459336","1456468","1450062",
"인구(B)","대전","범죄발생지역","명","1531809","1518775","1514370","1502227","1489936","1474870","1463882",
"인구(B)","울산","범죄발생지역","명","1166377","1173534","1172304","1165132","1155623","1148019","1136017",
"인구(B)","세종","범죄발생지역","명","156125","210884","243048","280100","314126","340575","355831",
"인구(B)","경기","범죄발생지역","명","12357830","12522606","12716780","12873895","13077153","13239666","13427014",
"인구(B)","강원","범죄발생지역","명","1544442","1549507","1550806","1550142","1543052","1541502","1542840",
"인구(B)","충북","범죄발생지역","명","1578933","1583952","1591625","1594432","1599252","1600007","1600837",
"인구(B)","충남","범죄발생지역","명","2062273","2077649","2096727","2116770","2126282","2123709","2121029",
"인구(B)","전북","범죄발생지역","명","1871560","1869711","1864791","1854607","1836832","1818917","1804104",
"인구(B)","전남","범죄발생지역","명","1905780","1908996","1903914","1896424","1882970","1868745","1851549",
"인구(B)","경북","범죄발생지역","명","2700794","2702826","2700398","2691706","2676831","2665836","2639422",
"인구(B)","경남","범죄발생지역","명","3350257","3364702","3373871","3380404","3373988","3362553","3340216",
"인구(B)","제주","범죄발생지역","명","607346","624395","641597","657083","667191","670989","674635",
"A/Bⅹ100,000","계","범죄발생지역","건/10만명","3768","3922","3884.8","3524.4","3353.9","3409.2","3308.1",
"A/Bⅹ100,000","서울","범죄발생지역","건/10만명","3854","3856","3753.3","3575.7","3494.8","3499.8","3292.4",
"A/Bⅹ100,000","부산","범죄발생지역","건/10만명","4204","4453","4117.1","3750","3667.9","3770.7","3764",
"A/Bⅹ100,000","대구","범죄발생지역","건/10만명","4150","4330","3771.8","3324.2","3228.9","3400.5","3274.2",
